Predicted Labels,Actual Labels
disgust,angry
angry,angry
angry,angry
angry,angry
angry,angry
disgust,angry
angry,angry
angry,angry
fear,angry
angry,angry
angry,angry
happy,angry
happy,angry
angry,angry
disgust,angry
angry,angry
angry,angry
angry,angry
angry,angry
disgust,angry
angry,angry
disgust,angry
angry,angry
angry,angry
disgust,angry
angry,angry
disgust,angry
angry,angry
disgust,angry
angry,angry
fear,angry
angry,angry
angry,angry
angry,angry
happy,angry
angry,angry
disgust,calm
neutral,calm
disgust,calm
happy,calm
disgust,calm
disgust,calm
disgust,calm
disgust,calm
disgust,calm
disgust,calm
neutral,calm
disgust,calm
calm,calm
neutral,calm
neutral,calm
surprise,calm
disgust,calm
neutral,calm
disgust,calm
disgust,calm
disgust,calm
disgust,calm
neutral,calm
disgust,calm
fear,calm
neutral,calm
calm,calm
calm,calm
neutral,calm
disgust,calm
surprise,disgust
disgust,disgust
disgust,disgust
angry,disgust
disgust,disgust
disgust,disgust
angry,disgust
happy,disgust
disgust,disgust
disgust,disgust
disgust,disgust
disgust,disgust
disgust,disgust
disgust,disgust
angry,disgust
disgust,disgust
disgust,disgust
angry,disgust
disgust,disgust
disgust,disgust
disgust,disgust
disgust,disgust
angry,disgust
disgust,disgust
angry,disgust
angry,disgust
neutral,disgust
happy,disgust
disgust,disgust
happy,disgust
disgust,disgust
disgust,disgust
disgust,disgust
neutral,disgust
disgust,disgust
disgust,disgust
disgust,disgust
happy,disgust
angry,disgust
angry,disgust
disgust,disgust
angry,disgust
happy,disgust
disgust,disgust
disgust,disgust
angry,disgust
neutral,disgust
disgust,disgust
disgust,disgust
angry,disgust
angry,disgust
disgust,disgust
happy,disgust
disgust,disgust
angry,disgust
happy,disgust
disgust,disgust
disgust,disgust
neutral,disgust
disgust,disgust
disgust,disgust
neutral,disgust
disgust,disgust
surprise,disgust
disgust,disgust
neutral,disgust
disgust,disgust
surprise,disgust
happy,disgust
disgust,disgust
disgust,disgust
disgust,disgust
disgust,disgust
disgust,disgust
disgust,disgust
disgust,disgust
disgust,disgust
disgust,disgust
disgust,disgust
disgust,disgust
disgust,disgust
disgust,disgust
happy,disgust
happy,disgust
disgust,disgust
disgust,disgust
angry,disgust
disgust,disgust
disgust,disgust
angry,disgust
disgust,disgust
disgust,disgust
disgust,disgust
happy,disgust
disgust,disgust
angry,disgust
disgust,disgust
fear,disgust
happy,disgust
disgust,disgust
angry,disgust
disgust,disgust
fear,disgust
disgust,disgust
disgust,disgust
disgust,disgust
disgust,disgust
disgust,disgust
disgust,disgust
disgust,disgust
disgust,disgust
disgust,disgust
disgust,disgust
disgust,disgust
happy,disgust
disgust,disgust
happy,disgust
disgust,disgust
disgust,disgust
angry,disgust
disgust,disgust
disgust,disgust
disgust,disgust
disgust,disgust
happy,disgust
fear,disgust
angry,disgust
disgust,disgust
angry,disgust
angry,disgust
disgust,disgust
disgust,disgust
sad,disgust
happy,disgust
disgust,disgust
disgust,disgust
disgust,disgust
disgust,disgust
happy,disgust
disgust,disgust
angry,disgust
disgust,disgust
disgust,disgust
disgust,disgust
disgust,disgust
angry,disgust
disgust,disgust
angry,disgust
neutral,disgust
neutral,disgust
angry,disgust
disgust,disgust
neutral,disgust
fear,disgust
disgust,disgust
disgust,disgust
disgust,disgust
disgust,disgust
disgust,disgust
disgust,disgust
angry,disgust
disgust,disgust
disgust,disgust
disgust,disgust
angry,disgust
disgust,disgust
neutral,disgust
happy,disgust
disgust,disgust
disgust,disgust
happy,disgust
disgust,disgust
angry,disgust
disgust,disgust
disgust,disgust
disgust,disgust
angry,disgust
disgust,disgust
happy,disgust
neutral,disgust
disgust,disgust
fear,disgust
disgust,disgust
disgust,disgust
disgust,disgust
neutral,disgust
disgust,disgust
disgust,disgust
happy,disgust
disgust,disgust
neutral,disgust
happy,disgust
fear,disgust
disgust,disgust
disgust,disgust
disgust,disgust
disgust,disgust
disgust,disgust
disgust,disgust
disgust,disgust
disgust,disgust
disgust,disgust
angry,disgust
disgust,disgust
angry,disgust
disgust,disgust
disgust,disgust
happy,disgust
angry,disgust
surprise,disgust
neutral,disgust
happy,disgust
disgust,disgust
disgust,disgust
angry,disgust
angry,disgust
disgust,disgust
fear,disgust
neutral,disgust
happy,disgust
fear,disgust
disgust,disgust
happy,disgust
angry,disgust
angry,disgust
disgust,disgust
disgust,disgust
disgust,disgust
angry,disgust
happy,disgust
neutral,disgust
neutral,disgust
disgust,disgust
disgust,disgust
disgust,disgust
fear,disgust
disgust,disgust
neutral,disgust
happy,disgust
angry,disgust
sad,disgust
disgust,disgust
disgust,disgust
happy,disgust
disgust,disgust
happy,disgust
angry,disgust
disgust,disgust
disgust,disgust
disgust,disgust
fear,disgust
disgust,disgust
angry,disgust
angry,disgust
fear,disgust
happy,disgust
angry,disgust
angry,disgust
disgust,disgust
disgust,disgust
neutral,disgust
angry,disgust
disgust,disgust
neutral,disgust
disgust,disgust
disgust,disgust
disgust,disgust
disgust,disgust
angry,disgust
disgust,disgust
neutral,disgust
disgust,disgust
disgust,disgust
disgust,disgust
happy,disgust
neutral,disgust
disgust,disgust
disgust,disgust
disgust,disgust
disgust,disgust
disgust,disgust
disgust,disgust
disgust,disgust
angry,disgust
neutral,disgust
angry,disgust
disgust,disgust
disgust,disgust
disgust,disgust
disgust,fear
disgust,fear
fear,fear
disgust,fear
neutral,fear
happy,fear
fear,fear
fear,fear
angry,fear
angry,fear
fear,fear
neutral,fear
angry,fear
happy,fear
fear,fear
happy,fear
disgust,fear
fear,fear
neutral,fear
angry,fear
fear,fear
fear,fear
angry,fear
angry,fear
disgust,fear
happy,fear
angry,fear
disgust,fear
angry,fear
fear,fear
fear,fear
fear,fear
disgust,fear
disgust,fear
disgust,fear
fear,fear
angry,fear
neutral,fear
angry,fear
fear,fear
fear,fear
fear,fear
fear,fear
fear,fear
neutral,fear
fear,fear
fear,fear
disgust,fear
disgust,fear
happy,fear
disgust,fear
disgust,fear
fear,fear
neutral,fear
fear,fear
neutral,fear
angry,fear
happy,fear
angry,fear
disgust,fear
fear,fear
happy,fear
fear,fear
fear,fear
fear,fear
fear,fear
angry,fear
happy,fear
fear,fear
angry,fear
neutral,fear
angry,fear
fear,fear
neutral,fear
neutral,fear
fear,fear
fear,fear
angry,fear
fear,fear
fear,fear
disgust,fear
fear,fear
happy,fear
fear,fear
happy,fear
fear,fear
fear,fear
fear,fear
happy,fear
neutral,fear
disgust,fear
neutral,fear
fear,fear
happy,fear
neutral,fear
fear,fear
disgust,fear
fear,fear
angry,fear
angry,fear
angry,fear
disgust,fear
fear,fear
angry,fear
neutral,fear
angry,fear
fear,fear
disgust,fear
disgust,fear
fear,fear
angry,fear
fear,fear
happy,fear
neutral,fear
fear,fear
fear,fear
disgust,fear
happy,fear
disgust,fear
surprise,fear
fear,fear
fear,fear
disgust,fear
disgust,fear
disgust,fear
angry,fear
fear,fear
disgust,fear
angry,fear
disgust,fear
angry,fear
disgust,fear
neutral,fear
neutral,fear
fear,fear
neutral,fear
happy,fear
fear,fear
angry,fear
disgust,fear
disgust,fear
angry,fear
angry,fear
fear,fear
happy,fear
neutral,fear
fear,fear
fear,fear
angry,fear
disgust,fear
angry,fear
fear,fear
fear,fear
disgust,fear
angry,fear
fear,fear
fear,fear
angry,fear
fear,fear
fear,fear
angry,fear
disgust,fear
fear,fear
disgust,fear
happy,fear
disgust,fear
fear,fear
happy,fear
angry,fear
disgust,fear
fear,fear
angry,fear
angry,fear
fear,fear
happy,fear
happy,fear
neutral,fear
angry,fear
neutral,fear
happy,fear
fear,fear
fear,fear
neutral,fear
happy,fear
disgust,fear
fear,fear
neutral,fear
fear,fear
angry,fear
happy,fear
fear,fear
fear,fear
disgust,fear
happy,fear
neutral,fear
fear,fear
happy,fear
disgust,fear
angry,fear
angry,fear
disgust,fear
happy,fear
neutral,fear
fear,fear
happy,fear
neutral,fear
fear,fear
fear,fear
fear,fear
happy,fear
disgust,fear
neutral,fear
happy,fear
fear,fear
happy,fear
fear,fear
fear,fear
disgust,fear
fear,fear
angry,fear
fear,fear
disgust,fear
fear,fear
disgust,fear
fear,fear
neutral,fear
fear,fear
happy,fear
fear,fear
fear,fear
disgust,fear
angry,fear
fear,fear
fear,fear
fear,fear
disgust,fear
happy,fear
neutral,fear
disgust,fear
happy,fear
happy,fear
fear,fear
disgust,fear
angry,fear
fear,fear
happy,fear
disgust,fear
fear,fear
fear,fear
happy,fear
fear,fear
disgust,fear
disgust,fear
disgust,fear
fear,fear
happy,fear
disgust,fear
angry,fear
neutral,fear
happy,fear
neutral,fear
disgust,fear
neutral,fear
angry,fear
happy,fear
sad,fear
angry,fear
disgust,fear
disgust,fear
fear,fear
disgust,fear
disgust,fear
disgust,fear
fear,fear
happy,fear
fear,fear
fear,fear
fear,fear
fear,fear
disgust,fear
fear,fear
happy,fear
fear,fear
angry,fear
fear,fear
disgust,fear
neutral,fear
fear,fear
fear,fear
neutral,happy
happy,happy
angry,happy
disgust,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
angry,happy
disgust,happy
happy,happy
happy,happy
happy,happy
angry,happy
angry,happy
happy,happy
happy,happy
disgust,happy
happy,happy
happy,happy
neutral,happy
angry,happy
angry,happy
disgust,happy
neutral,happy
disgust,happy
happy,happy
disgust,happy
angry,happy
happy,happy
fear,happy
happy,happy
neutral,happy
fear,happy
happy,happy
happy,happy
surprise,happy
happy,happy
angry,happy
angry,happy
angry,happy
happy,happy
happy,happy
happy,happy
neutral,happy
angry,happy
neutral,happy
happy,happy
angry,happy
happy,happy
happy,happy
angry,happy
neutral,happy
happy,happy
neutral,happy
fear,happy
angry,happy
neutral,happy
happy,happy
disgust,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
neutral,happy
happy,happy
angry,happy
disgust,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
disgust,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
disgust,happy
angry,happy
happy,happy
happy,happy
angry,happy
angry,happy
angry,happy
happy,happy
disgust,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
fear,happy
neutral,happy
happy,happy
neutral,happy
angry,happy
happy,happy
neutral,happy
happy,happy
angry,happy
happy,happy
angry,happy
happy,happy
angry,happy
happy,happy
disgust,happy
happy,happy
happy,happy
happy,happy
angry,happy
happy,happy
neutral,happy
happy,happy
disgust,happy
angry,happy
neutral,happy
disgust,happy
happy,happy
happy,happy
disgust,happy
happy,happy
happy,happy
happy,happy
disgust,happy
happy,happy
happy,happy
happy,happy
happy,happy
angry,happy
happy,happy
angry,happy
disgust,happy
happy,happy
angry,happy
happy,happy
happy,happy
happy,happy
surprise,happy
angry,happy
happy,happy
happy,happy
happy,happy
happy,happy
disgust,happy
happy,happy
neutral,happy
disgust,happy
angry,happy
angry,happy
happy,happy
disgust,happy
surprise,happy
happy,happy
happy,happy
disgust,happy
neutral,happy
happy,happy
angry,happy
happy,happy
angry,happy
happy,happy
disgust,happy
happy,happy
fear,happy
disgust,happy
happy,happy
happy,happy
angry,happy
angry,happy
fear,happy
angry,happy
happy,happy
happy,happy
happy,happy
disgust,happy
angry,happy
happy,happy
angry,happy
fear,happy
disgust,happy
sad,happy
happy,happy
happy,happy
disgust,happy
happy,happy
disgust,happy
happy,happy
happy,happy
angry,happy
neutral,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
angry,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
angry,happy
happy,happy
happy,happy
fear,happy
happy,happy
neutral,happy
angry,happy
happy,happy
disgust,happy
happy,happy
happy,happy
happy,happy
happy,happy
angry,happy
neutral,happy
happy,happy
happy,happy
happy,happy
happy,happy
disgust,happy
disgust,happy
disgust,happy
disgust,happy
happy,happy
disgust,happy
angry,happy
angry,happy
angry,happy
angry,happy
angry,happy
angry,happy
happy,happy
happy,happy
happy,happy
disgust,happy
fear,happy
disgust,happy
happy,happy
angry,happy
angry,happy
happy,happy
happy,happy
angry,happy
happy,happy
angry,happy
happy,happy
angry,happy
fear,happy
neutral,happy
angry,happy
happy,happy
fear,happy
happy,happy
angry,happy
angry,happy
happy,happy
disgust,happy
happy,happy
disgust,happy
disgust,happy
happy,happy
happy,happy
happy,happy
disgust,happy
angry,happy
angry,happy
happy,happy
happy,happy
disgust,happy
disgust,happy
angry,happy
happy,happy
happy,happy
neutral,happy
happy,happy
happy,happy
happy,happy
sad,neutral
fear,neutral
disgust,neutral
neutral,neutral
disgust,neutral
angry,neutral
neutral,neutral
neutral,neutral
neutral,neutral
neutral,neutral
angry,neutral
disgust,neutral
neutral,neutral
neutral,neutral
neutral,neutral
disgust,neutral
neutral,neutral
fear,neutral
neutral,neutral
disgust,neutral
angry,neutral
disgust,neutral
neutral,neutral
happy,neutral
sad,neutral
neutral,neutral
happy,neutral
neutral,neutral
disgust,neutral
neutral,neutral
neutral,neutral
neutral,neutral
disgust,neutral
disgust,neutral
fear,neutral
neutral,neutral
disgust,neutral
neutral,neutral
neutral,neutral
neutral,neutral
happy,neutral
neutral,neutral
neutral,neutral
angry,neutral
neutral,neutral
disgust,neutral
neutral,neutral
disgust,neutral
neutral,neutral
angry,neutral
neutral,neutral
neutral,neutral
disgust,neutral
disgust,neutral
neutral,neutral
neutral,neutral
disgust,neutral
happy,neutral
disgust,neutral
neutral,neutral
disgust,neutral
angry,neutral
disgust,neutral
neutral,neutral
disgust,neutral
neutral,neutral
neutral,neutral
disgust,neutral
sad,neutral
happy,neutral
disgust,neutral
disgust,neutral
disgust,neutral
neutral,neutral
neutral,neutral
happy,neutral
happy,neutral
disgust,neutral
neutral,neutral
disgust,neutral
neutral,neutral
angry,neutral
neutral,neutral
happy,neutral
happy,neutral
disgust,neutral
disgust,neutral
disgust,neutral
disgust,neutral
happy,neutral
disgust,neutral
neutral,neutral
happy,neutral
neutral,neutral
neutral,neutral
neutral,neutral
happy,neutral
neutral,neutral
neutral,neutral
fear,neutral
happy,neutral
neutral,neutral
neutral,neutral
neutral,neutral
neutral,neutral
neutral,neutral
neutral,neutral
happy,neutral
neutral,neutral
neutral,neutral
disgust,neutral
disgust,neutral
neutral,neutral
neutral,neutral
neutral,neutral
disgust,neutral
neutral,neutral
disgust,neutral
neutral,neutral
disgust,neutral
neutral,neutral
disgust,neutral
neutral,neutral
neutral,neutral
neutral,neutral
disgust,neutral
neutral,neutral
neutral,neutral
neutral,neutral
disgust,neutral
disgust,neutral
disgust,neutral
neutral,neutral
happy,neutral
disgust,neutral
disgust,neutral
neutral,neutral
neutral,neutral
happy,neutral
neutral,neutral
neutral,neutral
disgust,neutral
neutral,neutral
angry,neutral
neutral,neutral
disgust,neutral
disgust,neutral
neutral,neutral
disgust,neutral
disgust,neutral
neutral,neutral
disgust,neutral
disgust,neutral
disgust,neutral
happy,neutral
neutral,neutral
neutral,neutral
neutral,neutral
neutral,neutral
happy,neutral
neutral,neutral
neutral,neutral
neutral,neutral
disgust,neutral
neutral,neutral
neutral,neutral
disgust,neutral
happy,neutral
neutral,neutral
happy,neutral
neutral,neutral
happy,neutral
neutral,neutral
disgust,neutral
neutral,neutral
happy,neutral
neutral,neutral
neutral,neutral
neutral,neutral
disgust,neutral
happy,neutral
disgust,neutral
happy,neutral
neutral,neutral
neutral,neutral
neutral,neutral
disgust,neutral
disgust,neutral
happy,neutral
disgust,neutral
neutral,neutral
neutral,neutral
disgust,neutral
disgust,neutral
disgust,neutral
happy,neutral
disgust,neutral
neutral,neutral
neutral,neutral
neutral,neutral
disgust,neutral
disgust,neutral
disgust,neutral
neutral,neutral
disgust,neutral
neutral,neutral
disgust,neutral
neutral,neutral
neutral,neutral
angry,neutral
neutral,neutral
angry,neutral
neutral,neutral
neutral,neutral
neutral,neutral
disgust,neutral
disgust,neutral
neutral,neutral
neutral,neutral
neutral,neutral
happy,neutral
happy,neutral
disgust,neutral
disgust,neutral
neutral,neutral
disgust,neutral
neutral,neutral
angry,neutral
disgust,neutral
neutral,neutral
disgust,neutral
disgust,neutral
disgust,neutral
neutral,neutral
happy,neutral
neutral,neutral
neutral,neutral
neutral,neutral
disgust,neutral
neutral,neutral
neutral,neutral
neutral,neutral
disgust,neutral
disgust,neutral
neutral,neutral
disgust,neutral
neutral,neutral
neutral,neutral
angry,neutral
neutral,neutral
neutral,neutral
happy,neutral
neutral,neutral
disgust,neutral
neutral,neutral
happy,neutral
neutral,sad
disgust,sad
sad,sad
sad,sad
sad,sad
disgust,sad
sad,sad
disgust,sad
disgust,sad
disgust,sad
disgust,sad
fear,sad
disgust,sad
neutral,sad
angry,sad
disgust,sad
fear,sad
disgust,sad
disgust,sad
sad,sad
disgust,sad
happy,sad
fear,sad
disgust,sad
fear,sad
sad,sad
fear,sad
neutral,sad
sad,sad
sad,sad
sad,sad
angry,sad
disgust,sad
neutral,sad
sad,sad
fear,sad
disgust,sad
neutral,sad
fear,sad
neutral,sad
disgust,sad
happy,sad
sad,sad
disgust,sad
disgust,sad
happy,sad
disgust,sad
neutral,sad
fear,sad
disgust,sad
sad,sad
sad,sad
happy,sad
disgust,sad
neutral,sad
sad,sad
sad,sad
neutral,sad
neutral,sad
fear,sad
happy,sad
fear,sad
fear,sad
fear,sad
fear,sad
fear,sad
fear,sad
sad,sad
disgust,sad
sad,sad
sad,sad
neutral,sad
neutral,sad
disgust,sad
happy,sad
neutral,sad
disgust,sad
neutral,sad
fear,sad
happy,sad
neutral,sad
disgust,sad
sad,sad
neutral,sad
sad,sad
sad,sad
happy,sad
disgust,sad
neutral,sad
neutral,sad
happy,sad
fear,sad
sad,sad
neutral,sad
disgust,sad
sad,sad
sad,sad
fear,sad
sad,sad
sad,sad
sad,sad
fear,sad
sad,sad
happy,sad
neutral,sad
sad,sad
sad,sad
neutral,sad
sad,sad
sad,sad
disgust,sad
fear,sad
disgust,sad
disgust,sad
disgust,sad
neutral,sad
sad,sad
neutral,sad
neutral,sad
disgust,sad
happy,sad
neutral,sad
disgust,sad
sad,sad
neutral,sad
disgust,sad
neutral,sad
happy,sad
sad,sad
disgust,sad
disgust,sad
fear,sad
sad,sad
disgust,sad
disgust,sad
fear,sad
disgust,sad
neutral,sad
disgust,sad
disgust,sad
happy,sad
disgust,sad
fear,sad
neutral,sad
sad,sad
neutral,sad
neutral,sad
sad,sad
disgust,sad
sad,sad
disgust,sad
sad,sad
disgust,sad
fear,sad
neutral,sad
disgust,sad
sad,sad
sad,sad
happy,sad
sad,sad
happy,sad
fear,sad
disgust,sad
fear,sad
disgust,sad
neutral,sad
sad,sad
fear,sad
disgust,sad
disgust,sad
disgust,sad
disgust,sad
disgust,sad
neutral,sad
neutral,sad
sad,sad
neutral,sad
disgust,sad
sad,sad
disgust,sad
disgust,sad
disgust,sad
happy,sad
fear,sad
disgust,sad
happy,sad
fear,sad
neutral,sad
happy,sad
fear,sad
neutral,sad
disgust,sad
happy,sad
disgust,sad
disgust,sad
disgust,sad
fear,sad
angry,sad
happy,sad
disgust,sad
disgust,sad
disgust,sad
disgust,sad
angry,sad
neutral,sad
neutral,sad
neutral,sad
disgust,sad
neutral,sad
fear,sad
neutral,sad
sad,sad
happy,sad
sad,sad
sad,sad
neutral,sad
disgust,sad
disgust,sad
neutral,sad
disgust,sad
disgust,sad
fear,sad
disgust,sad
fear,sad
sad,sad
disgust,sad
fear,sad
sad,sad
sad,sad
angry,sad
sad,sad
fear,sad
neutral,sad
disgust,sad
disgust,sad
neutral,sad
angry,sad
neutral,sad
fear,sad
fear,sad
disgust,sad
neutral,sad
neutral,sad
sad,sad
sad,sad
disgust,sad
sad,sad
neutral,sad
disgust,sad
disgust,sad
sad,sad
happy,sad
fear,sad
neutral,sad
sad,sad
fear,sad
neutral,sad
fear,sad
happy,sad
neutral,sad
fear,sad
neutral,sad
disgust,sad
disgust,sad
neutral,sad
fear,sad
neutral,sad
sad,sad
sad,sad
disgust,sad
happy,sad
happy,sad
sad,sad
sad,sad
disgust,sad
disgust,sad
disgust,sad
disgust,sad
angry,sad
disgust,sad
angry,sad
disgust,sad
disgust,sad
disgust,sad
sad,sad
angry,sad
sad,sad
neutral,sad
angry,sad
disgust,surprise
surprise,surprise
surprise,surprise
surprise,surprise
surprise,surprise
surprise,surprise
surprise,surprise
surprise,surprise
surprise,surprise
surprise,surprise
disgust,surprise
surprise,surprise
surprise,surprise
surprise,surprise
surprise,surprise
surprise,surprise
surprise,surprise
surprise,surprise
surprise,surprise
surprise,surprise
surprise,surprise
surprise,surprise
surprise,surprise
happy,surprise
surprise,surprise
surprise,surprise
angry,surprise
surprise,surprise
surprise,surprise
happy,surprise
surprise,surprise
surprise,surprise
disgust,surprise
surprise,surprise
surprise,surprise
surprise,surprise
disgust,surprise
surprise,surprise
surprise,surprise
happy,surprise
surprise,surprise
disgust,surprise
disgust,surprise
surprise,surprise
disgust,surprise
disgust,surprise
surprise,surprise
surprise,surprise
surprise,surprise
surprise,surprise
surprise,surprise
surprise,surprise
surprise,surprise
happy,surprise
fear,surprise
surprise,surprise
disgust,surprise
sad,surprise
angry,surprise
surprise,surprise
surprise,surprise
surprise,surprise
happy,surprise
surprise,surprise
surprise,surprise
surprise,surprise
surprise,surprise
happy,surprise
surprise,surprise
surprise,surprise
surprise,surprise
happy,surprise
surprise,surprise
angry,surprise
surprise,surprise
surprise,surprise
surprise,surprise
disgust,surprise
happy,surprise
happy,surprise
surprise,surprise
surprise,surprise
surprise,surprise
surprise,surprise
disgust,surprise
surprise,surprise
happy,surprise
surprise,surprise
surprise,surprise
disgust,surprise
surprise,surprise
surprise,surprise
surprise,surprise
fear,surprise
neutral,surprise
fear,surprise
surprise,surprise
surprise,surprise
surprise,surprise
